General : Start date,"11/4/2020 1:42 PM"
General : End date,"11/4/2020 1:49 PM"
Test : Rate 1,"2.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"59.50000","1.98352","66.15614"
"59.60000","1.98624","64.67873"
"59.70000","1.99017","65.16911"
"59.80000","1.99360","65.85690"
"59.90000","1.99642","65.13700"
"60.00000","2.00035","65.39159"
"60.10000","2.00348","65.94934"
"60.20000","2.00650","65.95560"
"60.30000","2.01023","66.07468"
"60.40000","2.01325","65.71120"
"60.50000","2.01628","66.89250"
"60.60000","2.02011","66.68021"
"60.70000","2.02323","66.09974"
"60.80000","2.02646","66.25093"
"60.90000","2.03039","66.42092"
"61.00000","2.03341","66.59718"
"61.10000","2.03674","66.69588"
"61.20000","2.04037","66.65279"
"61.30000","2.04339","66.89642"
"61.40000","2.04692","67.49412"
"61.50000","2.05045","67.17686"
"61.60000","2.05327","67.41030"
"61.70000","2.05680","67.95003"
"61.80000","2.06042","68.19522"
"61.90000","2.06304","67.50273"
"62.00000","2.06647","68.21167"
"62.10000","2.07020","67.89128"
"62.20000","2.07302","68.70675"
"62.30000","2.07635","68.95429"
"62.40000","2.08028","68.61902"
"62.50000","2.08330","68.98720"
"62.60000","2.08653","67.85760"
"62.70000","2.09036","68.33544"
"62.80000","2.09348","68.50386"
"62.90000","2.09671","69.03889"
"63.00000","2.10034","69.47052"
"63.10000","2.10336","69.94994"
"63.20000","2.10699","69.73686"
"63.30000","2.11062","69.91547"
"63.40000","2.11344","70.57114"
"63.50000","2.11687","69.52850"
"63.60000","2.12030","70.34240"
"63.70000","2.12292","69.90294"
"63.80000","2.12644","69.78622"
"63.90000","2.13017","70.10347"
"64.00000","2.13289","70.55469"
"64.10000","2.13622","69.78857"
"64.20000","2.14035","70.49046"
"64.30000","2.14348","70.36747"
"64.40000","2.14701","70.47478"
"64.50000","2.15043","70.81242"
"64.60000","2.15305","71.09991"
"64.70000","2.15698","70.91817"
"64.80000","2.16051","71.06700"
"64.90000","2.16313","70.25466"
"65.00000","2.16706","70.67924"
"65.10000","2.17039","72.28904"
"65.20000","2.17301","71.57462"
"65.30000","2.17694","71.55269"
"65.40000","2.18037","72.25771"
"65.50000","2.18299","71.85036"
"65.60000","2.18672","71.68116"
"65.70000","2.19004","72.46059"
"65.80000","2.19287","72.50603"
"65.90000","2.19680","72.58437"
"66.00000","2.20022","72.80214"
"66.10000","2.20325","72.59612"
"66.20000","2.20708","73.06456"
"66.30000","2.21020","72.71127"
"66.40000","2.21313","72.96429"
"66.50000","2.21706","73.64033"
"66.60000","2.21998","73.36929"
"66.70000","2.22300","73.90746"
"66.80000","2.22714","72.36973"
"66.90000","2.23006","74.22628"
"67.00000","2.23308","73.74765"
"67.10000","2.23681","74.05785"
"67.20000","2.23974","74.55294"
"67.30000","2.24286","73.93252"
"67.40000","2.24659","74.06569"
"67.50000","2.24971","74.66653"
"67.60000","2.25304","74.38452"
"67.70000","2.25687","74.07039"
"67.80000","2.26000","73.93409"
"67.90000","2.26342","74.03828"
"68.00000","2.26725","74.45737"
"68.10000","2.27018","75.14986"
"68.20000","2.27350","74.45737"
"68.30000","2.27703","74.70100"
"68.40000","2.27985","74.87334"
"68.50000","2.28338","75.42168"
"68.60000","2.28691","75.12714"
"68.70000","2.28973","75.29086"
"68.80000","2.29326","75.02609"
"68.90000","2.29709","75.47495"
"69.00000","2.29991","76.26144"
"69.10000","2.30313","75.93008"
"69.20000","2.30686","76.99858"
"69.30000","2.30999","75.30496"
"69.40000","2.31332","75.47495"
"69.50000","2.31704","77.30487"
"69.60000","2.32007","76.91868"
"69.70000","2.32329","76.28416"
"69.80000","2.32712","76.69698"
"69.90000","2.33025","76.93513"
"70.00000","2.33357","76.60455"
"70.10000","2.33730","77.59471"
"70.20000","2.33992","77.55554"
"70.30000","2.34325","77.03304"
"70.40000","2.34698","77.41454"
"70.50000","2.34980","76.72753"
"70.60000","2.35313","78.27467"
"70.70000","2.35696","78.05298"
"70.80000","2.35978","77.32758"
"70.90000","2.36311","78.24490"
"71.00000","2.36694","78.34203"
"71.10000","2.36986","77.65503"
"71.20000","2.37339","78.04201"
"71.30000","2.37702","77.48817"
"71.40000","2.37994","78.17361"
"71.50000","2.38387","79.03217"
"71.60000","2.38710","79.24681"
"71.70000","2.38962","78.04984"
"71.80000","2.39355","78.77288"
"71.90000","2.39707","79.05097"
"72.00000","2.39970","78.73371"
"72.10000","2.40353","78.90135"
"72.20000","2.40675","79.39956"
